City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,elverum,60.8819,11.5623,3.84,86,59,2.21,NO,1712871702
1,ushuaia,-54.8,-68.3,7.81,61,0,11.32,AR,1712871614
2,port-aux-francais,-49.35,70.2167,5.9,89,100,3.34,TF,1712871702
3,uige,-7.6087,15.0613,21.09,99,100,1.27,AO,1712871702
4,west island,-12.1568,96.8225,25.99,89,40,2.57,CC,1712871702
5,edinburgh of the seven seas,-37.0676,-12.3116,18.45,95,76,7.38,SH,1712871702
6,mount gambier,-37.8333,140.7667,12.76,66,100,1.47,AU,1712871702
7,gaalkacyo,6.7697,47.4308,26.42,82,100,5.55,SO,1712871702
8,i-n-salah,27.1935,2.4607,23.01,21,0,7.86,DZ,1712871702
9,puerto natales,-51.7236,-72.4875,8.25,61,0,5.66,CL,1712871702
10,tazovsky,67.4667,78.7,-22.54,95,53,6.22,RU,1712871702
11,praia,14.9215,-23.5087,22.3,73,0,5.66,CV,1712871702
12,lata,40.1629,-8.3327,18.37,84,96,1.14,PT,1712871702
13,murun-kuren,49.6342,100.1625,0.12,99,95,1.98,MN,1712871702
14,yellowknife,62.456,-114.3525,4.67,68,40,5.66,CA,1712871703
15,kuvandyk,51.4781,57.3552,7.93,72,100,2.55,RU,1712871703
16,pisco,-13.7,-76.2167,26.03,65,0,5.66,PE,1712871703
17,alaghsas,17.0187,8.0168,29.8,10,100,0.29,NE,1712871703
18,nova vicosa,-17.8919,-39.3719,26.35,81,0,3.19,BR,1712871703
19,happy valley-goose bay,53.3168,-60.3315,13.17,19,40,5.14,CA,1712871703
20,nouadhibou,20.931,-17.0347,19.99,83,0,3.09,MR,1712871703
21,vorgashor,67.5833,63.95,-9.55,87,100,10.83,RU,1712871703
22,acarau,-2.8856,-40.12,26.79,85,97,3.46,BR,1712871703
23,rio grande,-32.035,-52.0986,20.06,61,100,6.77,BR,1712871592
24,ust-nera,64.5667,143.2,-8.62,94,87,2.53,RU,1712871703
25,avarua,-21.2078,-159.775,28.03,83,75,5.14,CK,1712871685
26,susuman,62.7833,148.1667,-13.47,97,99,1.26,RU,1712871439
27,waitangi,-43.9535,-176.5597,17.12,94,100,4.47,NZ,1712871704
28,port elizabeth,-33.918,25.5701,15.05,80,20,4.63,ZA,1712871704
29,wailua homesteads,22.0669,-159.378,26.24,85,100,4.12,US,1712871704
30,bethel,41.3712,-73.414,14.8,89,100,3.09,US,1712871437
31,muynoq,43.7683,59.0214,11.27,84,88,11.41,UZ,1712871704
32,mosjoen,65.836,13.1908,2.06,86,0,0.51,NO,1712871704
33,daru,-9.0763,143.2092,26.81,84,100,7.65,PG,1712871704
34,new norfolk,-42.7826,147.0587,11.72,84,91,1.18,AU,1712871704
35,aripuana,-9.1667,-60.6333,25.64,95,100,0.81,BR,1712871704
36,bilibino,68.0546,166.4372,-13.38,86,100,1.52,RU,1712871705
37,kailua-kona,19.6406,-155.9956,27.0,80,100,2.57,US,1712871467
38,lauro de freitas,-12.8944,-38.3272,29.01,74,40,3.09,BR,1712871654
39,punta arenas,-53.15,-70.9167,9.06,61,0,9.77,CL,1712871681
40,blackmans bay,-43.0167,147.3167,11.07,85,82,0.45,AU,1712871705
41,reinosa,42.9996,-4.138,13.0,72,99,1.13,ES,1712871705
42,kingston,17.997,-76.7936,30.53,70,20,10.29,JM,1712871593
43,bucerias,20.75,-105.3333,24.99,69,40,6.17,MX,1712871621
44,ola,59.5833,151.2833,-5.99,85,41,1.25,RU,1712871705
45,tromso,69.6496,18.957,2.01,93,75,1.03,NO,1712871705
46,novodvinsk,64.4165,40.8122,5.42,97,98,7.12,RU,1712871705
47,kenora,49.8167,-94.4337,10.54,53,75,5.66,CA,1712871553
48,uturoa,-16.7333,-151.4333,29.12,75,46,7.36,PF,1712871705
49,puerto ayora,-0.7393,-90.3518,28.98,95,48,4.02,EC,1712871416
50,hithadhoo,-0.6,73.0833,28.55,74,100,2.76,MV,1712871705
51,grytviken,-54.2811,-36.5092,-1.31,70,13,4.31,GS,1712871705
52,tura,25.5198,90.2201,23.81,39,99,1.28,IN,1712871706
53,rikaze,29.25,88.8833,-0.26,38,12,1.43,CN,1712871631
54,tolanaro,-25.0319,46.9987,23.04,88,40,2.06,MG,1712871706
55,carutapera,-1.195,-46.02,26.31,89,64,2.59,BR,1712871706
56,praia da vitoria,38.7333,-27.0667,16.14,94,75,3.38,PT,1712871706
